Day Ahead Market LMPs
07/16/2011

,,,All Hours-Ending are Eastern Standard Time (EST)
Node,Type,Value,HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
AEC,Interface,LMP,26.82,25.35,23.02,22.07,21.47,20.79,22.17,24.44,30.15,34.77,39.12,42.51,47.66,53.49,59.11,67.86,72.04,64.15,55.61,48.3,52.04,42.29,31.95,32
AECI,Interface,LMP,24.07,21.97,20.11,19.48,19.13,19.06,20.64,23.35,28.69,34.01,38.11,41.69,46.62,51.92,57.49,65.96,70.09,62.61,54.25,47.01,50.39,41.2,30.63,29.63
AECI.ALTW,Loadzone,LMP,23.05,20.04,18.28,17.7,17.55,18.29,19.48,23.11,28.52,35.27,39.33,43.38,48.37,53.44,59.3,67.99,72.27,64.77,56.08,48.48,51.67,42.47,31.77,29.06
AECI.AMMO,Loadzone,LMP,26.21,24.46,21.99,20.98,20.35,20,21.44,24.05,29.39,34.64,38.88,42.47,47.58,53.3,58.9,67.6,71.78,63.99,55.4,48.08,51.75,42.15,31.82,30.56
AECI.APM_1.AZ,Hub,LMP,26.06,24.29,21.85,20.86,20.24,19.9,21.33,23.95,29.28,34.53,38.75,42.33,47.43,53.12,58.71,67.37,71.55,63.78,55.22,47.92,51.58,42.01,31.69,30.47
AECI.APM_2.AZ,Hub,LMP,25.5,23.69,21.07,19.91,19.25,18.94,20.71,23.47,28.87,34.17,38.29,41.85,46.83,52.25,57.8,66.32,70.45,62.89,54.45,47.21,50.67,41.41,30.39,29.53
AECI.CWLD,Loadzone,LMP,25.5,23.69,21.07,19.91,19.25,18.94,20.71,23.47,28.87,34.17,38.29,41.85,46.83,52.25,57.8,66.32,70.45,62.89,54.45,47.21,50.67,41.41,30.39,29.53
AEP,Interface,LMP,26.95,25.88,24.46,24.14,23.83,23.06,23.96,25.71,31.67,35.7,40.27,43.5,48.89,55.29,60.92,69.96,74.25,65.94,57.1,49.68,53.82,43.5,32.94,33.89
ALTE.ALTE,Loadzone,LMP,25.01,22.25,19.64,18.61,18.04,18.82,23.12,25.39,29.08,34.09,36.91,41.57,45.21,46.27,52.51,59.95,64.07,59.15,51.15,43.35,43.71,38.54,31.49,28.23
ALTE.AZ,Hub,LMP,25,22.26,19.65,18.63,18.06,18.83,23.11,25.38,29.07,34.06,36.86,41.52,45.14,46.12,52.37,59.79,63.9,59.04,51.05,43.24,43.56,38.45,31.45,28.21
ALTE.CC.RIVS1,Gennode,LMP,24.94,22.06,19.24,18.05,17.45,18.33,23.03,24.8,27.91,32.53,35.37,39.77,43.43,45.01,50.92,58.16,62.08,57.06,49.38,41.94,42.68,37.37,31.48,27.87
ALTE.CC.RIVS2,Gennode,LMP,24.94,22.06,19.24,18.05,17.45,18.33,23.03,24.8,27.91,32.53,35.37,39.77,43.43,45.01,50.92,58.16,62.08,57.06,49.38,41.94,42.68,37.37,31.48,27.87
ALTE.CEDARDGE,Gennode,LMP,24.79,22.36,19.82,18.9,18.27,18.88,22.69,24.87,28.39,32.88,35.16,39.78,42.78,42.12,48.43,55.14,59.05,55.37,47.92,40.13,39.27,35.73,30.33,27.45
ALTE.COLUMBAL1,Gennode,LMP,24.49,21.78,19.09,18,17.4,18.18,22.73,24.74,28.1,32.8,35.51,39.98,43.49,44.5,50.54,57.68,61.62,56.92,49.26,41.69,42.02,37.01,30.79,27.33
ALTE.COLUMBAL2,Gennode,LMP,24.5,21.78,19.1,18.01,17.4,18.19,22.73,24.74,28.1,32.81,35.52,39.99,43.49,44.51,50.55,57.69,61.63,56.92,49.27,41.7,42.03,37.01,30.8,27.34
ALTE.EDEN0MONT,Gennode,LMP,23.94,20.86,18.34,17.28,16.85,17.82,21.36,24.38,28.33,34.39,37.46,42.68,46.92,49.57,55.32,63.48,67.95,61.84,53.02,45.69,47.43,40.56,31.45,27.91
ALTE.EDGG3G3,Gennode,LMP,24.56,22.22,19.73,18.87,18.22,18.79,22.22,24.33,27.69,31.95,33.98,38.56,41.27,39.98,46.2,52.55,56.35,53.18,46.01,38.36,37.06,34.22,29.81,27.06
ALTE.EDGG4G4,Gennode,LMP,24.56,22.23,19.75,18.9,18.25,18.81,22.29,24.4,27.77,32.02,34.02,38.62,41.3,39.91,46.16,52.49,56.29,53.18,46.01,38.34,36.96,34.2,29.75,27.02
ALTE.EDGG5G5,Gennode,LMP,24.55,22.23,19.75,18.89,18.24,18.81,22.3,24.41,27.79,32.04,34.04,38.64,41.32,39.93,46.19,52.52,56.33,53.21,46.04,38.36,36.98,34.22,29.75,27.02
ALTE.KILBOUNIL,Gennode,LMP,25.08,22.34,19.64,18.55,17.95,18.72,22.85,25.22,29.06,34.21,37.14,41.71,45.45,46.79,53.05,60.57,64.67,59.59,51.58,43.73,44.27,38.77,31.57,28.23
ALTE.NEDG1G1,Gennode,LMP,23.13,19.91,17.52,16.49,16.16,17.2,18.8,22.41,26.63,33.28,36.35,41.6,45.95,49.21,54.54,62.72,67.17,60.75,51.9,45.06,47.34,39.95,31.15,27.64
ALTE.NEDG2G2,Gennode,LMP,23.12,19.9,17.51,16.48,16.15,17.19,18.78,22.39,26.6,33.26,36.33,41.57,45.92,49.18,54.5,62.68,67.13,60.72,51.87,45.03,47.31,39.92,31.14,27.63
ALTE.NEENAHG1,Gennode,LMP,24.89,22.5,20,19.12,18.49,19.06,22.44,24.73,28.39,32.95,35.21,39.83,42.8,42.07,48.39,55.09,59.01,55.38,47.92,40.11,39.19,35.68,30.4,27.64
ALTE.NEENAHG2,Gennode,LMP,24.89,22.5,20,19.12,18.49,19.06,22.44,24.73,28.39,32.95,35.21,39.83,42.8,42.07,48.39,55.09,59.01,55.38,47.92,40.11,39.19,35.68,30.4,27.64
ALTE.PAR_1.AZ,Hub,LMP,25.28,22.59,19.9,18.84,18.22,18.96,23.37,25.56,29.2,34.08,36.84,41.47,45.04,45.87,52.18,59.53,63.61,58.87,50.95,43.06,43.24,38.24,31.59,28.28
ALTE.PDSG1S1,Gennode,LMP,24.93,22.17,19.45,18.34,17.74,18.53,23.22,25.46,29.15,34.19,37.12,41.71,45.46,46.84,53.09,60.62,64.72,59.62,51.61,43.76,44.33,38.81,31.42,27.97
ALTE.PRARED1S2,Gennode,LMP,25,22.23,19.51,18.4,17.8,18.59,23.3,25.54,29.24,34.31,37.25,41.85,45.61,47.01,53.28,60.84,64.96,59.83,51.79,43.91,44.49,38.94,31.51,28.05
ALTE.ROCKGEN1,Gennode,LMP,24.67,21.79,19,17.81,17.21,18.1,23.26,25.1,28.34,33.11,36.07,40.51,44.31,46.16,52.13,59.56,63.55,58.29,50.45,42.91,43.83,38.06,31.4,27.61
ALTE.ROCKGEN2,Gennode,LMP,24.67,21.79,19,17.81,17.21,18.1,23.26,25.1,28.34,33.11,36.07,40.51,44.31,46.16,52.13,59.56,63.55,58.29,50.45,42.91,43.83,38.06,31.4,27.61
ALTE.ROCKGEN3,Gennode,LMP,24.67,21.79,19,17.81,17.21,18.1,23.26,25.1,28.34,33.11,36.07,40.51,44.31,46.16,52.13,59.56,63.55,58.29,50.45,42.91,43.83,38.06,31.4,27.61
ALTE.RORG3R3,Gennode,LMP,24.94,22.06,19.25,18.06,17.46,18.34,23.04,24.81,27.92,32.54,35.38,39.79,43.44,45.01,50.92,58.16,62.08,57.07,49.39,41.95,42.67,37.38,31.47,27.87
ALTE.RORG5R5,Gennode,LMP,24.94,22.06,19.25,18.06,17.46,18.34,23.04,24.81,27.92,32.54,35.38,39.79,43.44,45.01,50.92,58.16,62.08,57.07,49.39,41.95,42.67,37.38,31.47,27.87
ALTE.RORG6R6,Gennode,LMP,24.94,22.06,19.25,18.06,17.46,18.34,23.04,24.81,27.92,32.54,35.38,39.79,43.44,45.01,50.92,58.16,62.08,57.07,49.39,41.95,42.67,37.38,31.47,27.87
ALTE.SFONDDLG1,Gennode,LMP,24.78,22.34,19.8,18.88,18.24,18.86,22.66,24.83,28.35,32.85,35.14,39.75,42.76,42.16,48.45,55.17,59.08,55.37,47.91,40.14,39.32,35.74,30.35,27.45
ALTE.SFONDDLG2,Gennode,LMP,24.78,22.34,19.8,18.88,18.24,18.86,22.66,24.83,28.35,32.85,35.14,39.75,42.76,42.16,48.45,55.17,59.08,55.37,47.91,40.14,39.32,35.74,30.35,27.45
ALTE.SFONDDLG3,Gennode,LMP,24.78,22.34,19.8,18.88,18.24,18.86,22.66,24.83,28.35,32.85,35.14,39.75,42.76,42.16,48.45,55.17,59.08,55.37,47.91,40.14,39.32,35.74,30.35,27.45
ALTE.SFONDDLG4,Gennode,LMP,24.78,22.34,19.8,18.88,18.24,18.86,22.66,24.83,28.35,32.85,35.14,39.75,42.76,42.16,48.45,55.17,59.08,55.37,47.91,40.14,39.32,35.74,30.35,27.45
ALTE.SHEB1,Gennode,LMP,24.68,22.5,20.1,19.34,18.67,19.14,22.23,24.38,27.78,31.92,33.72,38.38,40.83,38.76,45.09,51.22,55,52.32,45.26,37.53,35.67,33.49,29.56,27.03
ALTE.SHEB2,Gennode,LMP,24.68,22.5,20.1,19.34,18.67,19.14,22.23,24.38,27.78,31.92,33.72,38.38,40.83,38.76,45.09,51.22,55,52.32,45.26,37.53,35.67,33.49,29.56,27.03
ALTE.SHEEPSIN1,Gennode,LMP,25.5,22.6,19.76,18.58,17.97,18.83,23.74,25.68,29.07,33.94,36.93,41.49,45.33,47.06,53.21,60.79,64.87,59.58,51.57,43.82,44.65,38.95,32.23,28.59
ALTE.TOWNECT_1,Gennode,LMP,24.94,22.06,19.24,18.05,17.45,18.33,23.03,24.8,27.91,32.53,35.37,39.77,43.43,45.01,50.92,58.16,62.08,57.06,49.38,41.94,42.68,37.37,31.48,27.87
